,detector_1,detector_2,dist
889,1856,1386,17382
890,1856,1387,17382
891,1856,1377,24880
892,1856,1378,24880
893,1856,1379,24880
894,1857,1730,2991
895,1857,1731,2991
896,1857,1732,2991
897,1857,1417,5500
898,1857,1418,5500
899,1857,1419,5500
900,1857,1409,7542
901,1857,1410,7542
902,1857,1411,7542
903,1857,1401,11630
904,1857,1402,11630
905,1857,1403,11630
906,1857,1393,11680
907,1857,1394,11680
908,1857,1395,11680
909,1857,1953,10783
910,1857,1954,10783
911,1857,1955,10783
912,1857,1945,15250
913,1857,1946,15250
914,1857,1947,15250
915,1857,1385,17382
916,1857,1386,17382
917,1857,1387,17382
918,1857,1377,24880
919,1857,1378,24880
920,1857,1379,24880
921,1858,1730,2991
922,1858,1731,2991
923,1858,1732,2991
924,1858,1417,5500
925,1858,1418,5500
926,1858,1419,5500
927,1858,1409,7542
928,1858,1410,7542
929,1858,1411,7542
930,1858,1401,11630
931,1858,1402,11630
932,1858,1403,11630
933,1858,1393,11680
934,1858,1394,11680
935,1858,1395,11680
936,1858,1953,10783
937,1858,1954,10783
938,1858,1955,10783
939,1858,1945,15250
940,1858,1946,15250
941,1858,1947,15250
942,1858,1385,17382
943,1858,1386,17382
944,1858,1387,17382
945,1858,1377,24880
946,1858,1378,24880
947,1858,1379,24880
948,1730,1417,3458
949,1730,1418,3458
950,1730,1419,3458
951,1730,1409,5500
952,1730,1410,5500
953,1730,1411,5500
954,1730,1401,9588
955,1730,1402,9588
956,1730,1403,9588
957,1730,1393,9638
958,1730,1394,9638
959,1730,1395,9638
960,1730,1953,8742
961,1730,1954,8742
962,1730,1955,8742
963,1730,1945,13208
964,1730,1946,13208
965,1730,1947,13208
966,1730,1385,15340
967,1730,1386,15340
968,1730,1387,15340
969,1730,1377,22838
970,1730,1378,22838
971,1730,1379,22838
972,1731,1417,3458
973,1731,1418,3458
974,1731,1419,3458
975,1731,1409,5500
976,1731,1410,5500
977,1731,1411,5500
978,1731,1401,9588
979,1731,1402,9588
980,1731,1403,9588
981,1731,1393,9638
982,1731,1394,9638
983,1731,1395,9638
984,1731,1953,8742
985,1731,1954,8742
986,1731,1955,8742
987,1731,1945,13208
988,1731,1946,13208
989,1731,1947,13208
990,1731,1385,15340
991,1731,1386,15340
992,1731,1387,15340
993,1731,1377,22838
994,1731,1378,22838
995,1731,1379,22838
996,1732,1417,3458
997,1732,1418,3458
998,1732,1419,3458
